Attribute1,Attribute2,Attribute3,Attribute4,Cluster
-0.305274,-1.110576,0.755354,-0.83147,C1
-0.282726,0.034388,0.696487,0.382683,C1
-0.619599,-0.214979,0.381833,-0.707107,C1
-0.190587,-0.773487,0.472724,-0.19509,C1
-0.401885,-0.521121,0.594496,-0.92388,C1
0.314333,-1.330784,0.445688,-0.55557,C1
-0.588243,-0.375291,0.942569,-0.707107,C1
-0.349859,-0.675287,0.075475,-0.707107,C1
-0.045933,-1.199864,0.332718,0.382683,C1
-0.367173,0.233278,0.820065,0.55557,C1
0.563131,-1.293562,0.827045,0.382683,C1
-0.267118,-0.179702,0.687585,0.55557,C1
0.56001,-0.897503,0.820262,0,C1
0.153663,-0.085677,0.598942,0.382683,C1
0.486886,-0.789877,0.139524,-0.19509,C1
-0.338979,-0.269701,0.798039,-0.382683,C1
-0.175504,-0.799974,0.999459,-0.19509,C2
-0.5665,7.106582,0.686659,0.55557,C2
0.011518,-6.539858,-0.103784,-1.409208,C2
0.305235,7.099059,0.82633,0.980785,C2
0.034495,2.472103,-0.637446,-0.190056,C2
-0.794286,4.558582,0.825178,1,C2
1.309225,14.209241,0.893193,-0.83147,C2
0.389068,-5.917134,-0.017633,-2.219766,C2
4.845237,24.606073,-1.263878,0.825664,C2
0.129482,9.696941,-0.315042,-0.721622,C2
0.789858,8.043729,-0.398031,-1.092303,C2
0.184029,9.223237,-0.271894,0.340546,C2
0.656528,1.997843,0.216123,0.707107,C2
0.835594,6.203963,-0.95518,-2.562726,C2
3.830308,10.769992,0.766132,-0.546079,C2
0.129171,8.509057,0.450347,-0.19509,C2
0.829593,-1.937108,-0.608699,-1.146535,C2
-1.422189,-5.210524,0.837114,0.19509,C2
3.877567,26.442493,1.209382,1.789335,C2
0.240719,0.391091,-0.3438,-1.471697,C2
-1.29854,0.391594,0.268536,-0.83147,C2
3.850778,22.030348,0.483038,0.775418,C2
1.157378,13.55224,0.637642,0.980785,C2
0.069451,-1.419594,-0.759798,-2.228905,C2
1.12121,6.718568,0.878026,-0.83147,C2
4.720218,14.161399,-1.02419,1.17354,C2
0.963637,3.449074,-0.417596,-1.95825,C2
-0.294353,-9.470898,0.07376,0.19509,C2
4.249936,15.559346,0.720182,1.975303,C2
0.866356,-1.331074,-0.494483,-1.167856,C2
0.864669,9.393495,-0.228035,-1.457421,C2
0.695133,-5.025654,-0.75033,-0.002162,C2
3.776951,10.540389,0.225549,1.393283,C2
4.341755,12.768577,-1.536752,0.443057,C2
3.61245,23.783142,2.704382,3.430146,C2
0.563556,7.01668,-0.806488,-1.366784,C2
3.515752,9.093381,0.625232,2.192611,C2
-0.010622,-5.109519,0.36896,-0.707107,C2
-0.494572,-3.172522,0.938239,0.19509,C2
0.627743,-2.056125,-0.193061,0.463088,C2
1.214894,1.401862,0.761246,-0.19509,C2
0.458522,12.353756,0.374574,0.55557,C2
0.622214,-6.222158,0.321015,1,C2
0.150737,-7.549033,0.445787,0.83147,C2
1.578542,-2.463493,0.729636,0.92388,C2
0.628675,4.640868,-0.509506,-0.416083,C2
-0.181762,-4.363577,0.371801,-0.707107,C2
4.194686,19.372643,1.561993,0.251369,C2
0.891024,11.102377,-0.939418,-1.507101,C2
4.416339,25.759676,-1.231016,1.659016,C2
0.986674,11.025023,-0.295304,-1.950097,C2
-0.533222,3.806728,0.181974,0.980785,C2
0.523517,1.983042,-0.908962,-1.154932,C2
0.866654,13.974307,-0.635429,-0.241717,C2
0.22512,-7.565379,0.737832,0.382683,C2
4.818839,11.498887,1.488192,0.800499,C2
3.40085,15.593522,0.388442,1.550357,C2
4.480952,16.3476,-0.369181,1.690687,C2
0.739634,10.035418,-0.762925,-0.556899,C2
1.193013,6.153129,0.322714,0,C2
0.392675,10.168317,0.351719,0.19509,C2
3.109051,22.913629,0.898054,1.427859,C2
-0.100547,4.112536,0.324508,1,C2
4.438887,18.810289,0.894662,1.835093,C2
4.53207,10.216883,-2.060882,1.580702,C2
0.659663,1.898258,-0.747812,-0.244183,C2
-0.920633,-0.136669,0.412432,0.92388,C2
0.135743,8.913122,-0.3785,-1.203879,C2
-1.15315,0.684701,0.260153,-0.83147,C2
-1.826742,-3.367835,0.529449,-0.19509,C2
-0.049213,-9.030313,0.034143,0,C2
3.872956,22.449613,0.319943,0.424376,C2
-1.445447,3.344416,0.081491,-1,C2
3.275021,7.549035,-0.811746,-0.037508,C2
0.803761,2.812566,-0.256113,-2.367881,C2
-0.378817,8.048684,0.950049,-0.19509,C2
-1.322718,3.972746,0.791815,0.55557,C2
-0.601023,-3.642306,0.833302,-0.92388,C2
3.279087,18.451965,1.078775,2.336106,C2
0.114958,-2.741109,-0.370659,-1.372192,C2
0.476614,-3.544546,0.311704,0.382683,C2
0.961367,3.324507,-0.605553,-2.221128,C2
0.373205,1.970973,-0.902911,-2.455307,C2
-1.548109,-8.945993,0.541679,0.55557,C2
4.83866,21.758056,0.865546,-0.057592,C2
4.708991,13.805362,0.19459,2.218307,C2
4.364903,22.125134,-1.498015,2.55582,C2
4.04346,11.546425,0.033976,0.649627,C2
0.248771,-3.932591,-0.066634,-3.126921,C2
0.416608,-6.187585,-0.384026,-0.64083,C2
0.181628,1.459758,-0.873599,-1.371287,C2
0.867499,-2.082393,-0.638067,-1.348759,C2
0.678701,-5.710834,-0.578834,0.330409,C2
4.694941,27.502446,0.134067,0.416698,C2
3.211069,12.023473,0.291485,0.797053,C2
0.284505,4.039788,-0.685309,-1.78205,C2
0.688726,-5.118825,0.652351,-0.980785,C2
3.445747,8.386273,0.920649,3.127625,C2
3.997058,25.249257,-0.125652,1.182237,C2
-0.460438,0.837806,0.757596,-0.382683,C2
0.181752,-1.423408,-0.154378,-0.189327,C2
4.283549,25.573383,-0.608264,1.447813,C2
0.563131,-1.293562,0.827045,0.382683,C2
2.068448,9.484442,0.667698,0.707107,C2
4.224808,19.026764,0.057501,0.578087,C2
3.25035,17.409379,-1.433021,-0.85553,C2
3.890853,13.098655,-0.08902,2.974091,C2
0.757281,-4.698692,0.029134,-1,C2
3.2846,7.040921,2.088941,-0.293113,C2
3.302358,6.825635,-2.14271,1.944344,C2
0.176195,2.901917,-0.725286,-2.967919,C2
3.626027,15.092933,-0.650728,-0.446919,C2
-0.054218,-1.822474,0.125691,-0.707107,C2
-0.398497,1.575067,0.737574,0.83147,C2
1.104056,-1.550731,0.580776,-0.707107,C2
3.056515,6.550373,1.345332,4.306821,C2
4.730442,15.790015,0.117918,2.518229,C2
-0.505829,7.093125,0.91599,0.92388,C2
3.279607,19.944762,-1.496691,1.783989,C2
0.665856,8.392422,-0.372727,-0.820857,C2
0.429086,-4.200393,0.820473,-0.382683,C2
4.627057,17.440291,0.359413,1.920168,C2
4.38424,19.070767,0.587238,2.075686,C2
3.724115,24.585729,-0.619848,1.444437,C2
0.03982,-4.415128,0.251587,-1,C2
0.646261,-5.472911,-0.270243,-1.680804,C2
0.768476,3.81137,0.482211,-0.19509,C2
0.177739,11.640048,0.713068,-0.19509,C2
0.748974,4.875622,-0.648911,-0.626338,C2
4.037737,12.737811,0.815746,2.779725,C2
4.321737,11.808279,0.799759,1.343307,C2
0.973893,-1.550966,-0.368684,-1.73975,C2
3.278159,10.521472,-0.605214,1.239871,C2
1.691556,0.765178,0.064884,-0.55557,C2
3.735338,20.824689,0.56317,1.050685,C2
0.116939,-5.151663,-0.384273,-2.276834,C2
0.228467,6.416653,-0.714862,-0.471606,C2
0.505248,7.14552,0.777488,0.92388,C2
0.439831,11.009476,0.39912,0.19509,C2
3.894109,19.589603,0.112357,0.926821,C2
0.214349,-8.095531,0.718093,-0.980785,C2
1.798331,15.677425,0.651697,0.707107,C2
4.266193,17.164302,0.113714,1.810276,C2
-0.717785,0.82075,0.083303,-0.55557,C2
0.692342,-3.649151,-0.458101,-3.225666,C2
0.250576,9.79808,-0.953058,-1.321203,C2
4.551761,17.647564,-2.106267,0.499821,C2
0.003534,-1.70549,-0.460526,-1.99924,C2
0.853879,12.128211,0.074851,0.55557,C2
3.35345,13.554786,-0.528982,3.169377,C2
0.487645,9.126364,0.340602,0,C2
-0.189369,-8.746625,0.143516,-0.19509,C2
0.956496,8.610738,-0.71153,-1.015715,C2
-0.551231,-4.335042,0.550587,0.55557,C2
-0.04719,6.444033,0.755719,0,C2
4.088774,8.144253,0.786907,2.601187,C2
1.016409,-1.578984,0.07369,0.83147,C2
0.771478,6.099539,0.99501,0.55557,C2
0.620992,9.494239,-0.521892,-1.971219,C2
3.465198,21.747742,0.155408,1.678136,C2
0.499754,4.306125,-0.416302,-1.434794,C2
1.732736,2.841234,0.797795,-1,C2
4.53128,20.739936,0.419151,1.767665,C2
0.383722,-3.852303,0.259602,-0.92388,C2
3.57423,8.501463,-1.470545,3.288174,C2
0.386113,-1.754384,0.890634,0.55557,C2
4.390535,17.012342,0.142857,1.786469,C2
0.766082,10.039956,-0.453466,-1.148765,C2
0.931529,9.467314,-0.499249,0.403259,C2
0.067853,5.304497,-0.143114,-2.061574,C2
0.191839,10.970337,-0.820959,-3.09017,C2
0.771445,13.248001,-0.817957,-0.836477,C2
0.314333,-1.330784,0.445688,-0.55557,C2
0.061712,1.180126,0.568501,-0.980785,C2
0.437378,8.330037,0.24452,0.92388,C2
0.006044,3.147631,-0.753531,-1.702807,C2
0.037376,-4.949092,0.474866,-0.707107,C2
0.180885,-1.052625,-0.265005,0.465477,C2
0.392571,-4.490881,-0.09711,-1.271984,C2
0.341349,1.568206,-0.987781,-1.44245,C2
0.065305,-8.050549,-0.829011,-2.548416,C2
4.244016,8.335087,0.321522,2.067736,C2
0.628033,0.502728,0.588694,-0.92388,C2
3.623497,8.158077,-0.656955,0.994289,C2
0.35328,5.127503,-0.391962,-1.120579,C2
4.003636,22.856929,0.868149,-0.079093,C2
0.355233,12.313724,-0.884974,-2.581702,C2
0.939297,-3.81264,-0.460277,-3.47211,C2
4.216119,16.19287,-0.577265,1.332271,C2
4.855215,18.473245,0.494539,1.139023,C2
3.731705,10.748533,0.784805,1.794394,C2
0.086958,1.884983,0.937268,-0.92388,C2
-0.619599,-0.214979,0.381833,-0.707107,C2
3.739769,19.684918,0.408905,2.642167,C2
3.753914,21.125707,-0.406576,4.255974,C2
0.408486,-0.146436,-0.946243,-1.699138,C2
3.088458,11.28285,-0.294666,0.506839,C2
1.417348,14.095242,0.926085,-0.382683,C2
4.107362,24.718964,-1.407781,-0.334126,C2
0.234706,-7.16026,0.994338,-0.382683,C2
4.888625,17.214144,0.954949,0.751094,C2
-2.133177,-12.75467,0.286781,0.83147,C2
0.050713,-6.768644,-0.429488,-1.30707,C2
0.663092,11.885326,0.698691,0.83147,C2
4.633336,10.263807,-0.891831,1.521047,C2
0.550817,-1.085781,-0.851252,-2.35151,C2
3.323608,5.766097,0.447243,1.168196,C2
-0.394167,-3.147041,0.800847,-0.382683,C2
3.283075,10.439681,0.147247,0.929671,C2
0.148045,10.471804,-0.606696,-1.921169,C2
4.46002,28.122336,-0.026148,2.58377,C2
3.582519,6.805769,-0.962225,-0.18132,C2
3.672244,10.964396,1.776814,1.084406,C2
4.416904,21.119574,0.481539,1.23553,C2
4.935683,15.190902,-1.46903,1.91895,C2
0.407879,-2.477164,-0.258609,-1.217417,C2
3.119286,9.985847,-0.636351,0.747674,C2
0.782555,3.234068,0.559895,1,C2
0.745066,-3.551614,0.093077,0.55557,C2
-0.592885,-5.546194,0.055171,0.92388,C2
4.432593,13.906364,-0.564883,0.863763,C2
3.883389,19.137895,0.541286,2.496572,C2
4.79413,21.058543,-1.675298,-0.263493,C2
4.593766,10.56034,0.404681,0.907943,C2
-0.111908,-6.551273,0.225743,-0.707107,C2
3.138424,10.181283,-1.214937,0.524598,C2
0.195401,-7.818655,-0.11365,-0.95838,C2
0.544501,3.040661,-0.509806,-0.409082,C2
4.995994,21.238859,1.184711,0.97831,C2
4.521853,15.837969,-0.02833,1.734241,C2
0.178413,11.69703,-0.467889,-1.256652,C2
-0.41678,1.027504,0.296631,0.19509,C2
0.050841,2.184118,-0.933524,-0.305897,C2
3.18855,22.769347,-0.000378,2.426332,C2
3.026682,9.622342,0.384115,-0.045625,C2
4.290249,9.919584,0.55313,2.508437,C2
-1.121325,3.179977,0.712349,0.83147,C2
-0.975,-9.070179,0.704531,0,C2
4.608363,28.561566,0.246399,1.653487,C2
3.642279,10.220462,1.149658,0.914159,C2
4.135385,19.236786,-1.332077,2.003551,C2
4.934585,12.184333,0.32483,1.927849,C2
3.683211,15.746154,0.637413,1.205725,C2
4.116306,18.301823,-0.105152,1.703547,C2
0.910074,5.110931,-0.985956,-0.578624,C2
0.21073,6.246643,-0.764013,-2.555366,C2
-1.501493,-13.164012,0.789572,0.707107,C2
3.085438,12.173884,-0.310013,2.136792,C2
3.733214,25.38793,1.082899,2.712662,C2
0.880576,8.096499,-0.351773,-1.701981,C2
-0.155722,5.681736,0.501279,0,C2
0.228754,-2.825895,-0.609167,-0.117574,C2
-1.397905,0.08085,0.022785,0.382683,C2
3.968126,25.792319,0.202557,0.994327,C2
0.153663,-0.085677,0.598942,0.382683,C2
1.446001,10.992767,0.245108,-0.382683,C2
0.367368,-6.69709,0.531326,0.55557,C2
-0.929622,-9.247702,0.796903,0.19509,C2
4.475036,28.382183,0.929822,0.546249,C2
0.218278,4.52499,-0.09227,-0.927049,C2
0.70268,-3.781537,0.493267,-0.707107,C2
-0.380366,-6.184643,0.972595,0.980785,C2
-1.163949,3.705223,0.837972,0.707107,C2
0.968002,10.351305,-0.24989,0.117792,C2
0.866137,13.215037,-0.442931,-1.071221,C2
-0.924013,-11.925319,0.521687,0,C2
3.541352,19.091073,0.781264,1.036567,C2
0.66346,-0.125508,0.28639,-0.92388,C2
0.849769,-2.56182,-0.012767,-2.162873,C2
-0.199353,-3.18969,0.755505,0.19509,C2
0.956145,1.288159,-0.162492,-1.277251,C2
0.410665,-2.575838,-0.557512,-0.500195,C2
1.464281,-1.644421,0.96874,-0.980785,C2
2.208836,10.525421,0.052387,0.83147,C2
0.773014,5.312156,-0.248145,-2.640958,C2
3.135828,21.080498,0.288943,1.944583,C2
-0.63167,-3.202258,0.61349,0.92388,C2
0.556436,8.050127,-0.47906,-3.69859,C2
0.776504,10.598935,-0.030036,-2.252505,C2
4.188824,25.78185,0.962434,2.844363,C2
0.779952,-2.155084,-0.570229,-1.083531,C2
1.479874,3.321809,0.378103,0.19509,C2
-1.028263,3.442391,0.492559,-0.382683,C2
0.31229,9.903914,0.930713,-0.92388,C2
-0.119348,-8.320782,0.411638,0.55557,C2
0.6376,12.74054,-0.372521,-2.990084,C2
0.266813,-7.322077,-0.419365,-0.893117,C2
4.304515,18.515688,0.255371,2.187001,C2
0.164647,1.824941,-0.922127,-1.37858,C2
-2.099823,-3.042307,0.231717,0.980785,C2
3.906057,11.276888,1.899288,1.466419,C2
0.120161,5.682391,0.437315,0.382683,C2
0.800561,9.420994,0.567581,0,C2
0.045387,10.890497,-0.285777,-0.202497,C2
0.185564,-3.593905,-0.584248,-1.574094,C2
4.22983,10.568955,-0.566641,2.486672,C2
2.116543,17.62979,0.288432,-0.382683,C2
0.123509,7.589335,-0.183917,-1.637584,C2
0.485865,-4.680218,-0.970544,0.138529,C2
0.155213,3.33441,0.859721,0.92388,C2
