@relation glass-train

@attribute RI numeric
@attribute Na numeric
@attribute Mg numeric
@attribute Al numeric
@attribute Si numeric
@attribute K numeric
@attribute Ca numeric
@attribute Ba numeric
@attribute Fe numeric
@attribute cluster {C00,C01,C02,C03}

@data
25.06887,76.513317,80.178174,58.469945,62.931034,43.636365,8.232712,0,0,C02
18.503214,67.79661,79.064588,68.306011,68.534482,35.454543,7.683865,0,0,C02
25.298439,60.048426,82.182628,54.644809,60.344827,51.818181,12.513722,0,0,C02
24.19651,61.501211,80.623608,51.912569,70.474138,50,10.867179,0,0,?
17.493112,49.878935,80.400891,72.677596,68.103448,58.181816,10.867179,0,74.285714,C00
24.242424,62.227604,80.178174,46.448088,70.689656,52.727274,11.964874,0,0,C02
24.839302,58.595641,80.400891,41.530054,73.922414,51.818181,12.733261,0,0,?
16.34527,48.184019,77.060134,69.398907,73.060344,60.90909,11.086719,0,68.571429,C00
25.160697,50.121066,81.514477,53.551912,68.965517,54.545455,16.245884,0,0,C02
17.171717,52.058111,76.391982,60.655737,74.784483,62.72727,10.64764,0,68.571429,?
24.471992,51.57385,79.287305,53.551912,73.275862,49.090907,14.270034,0,48.571428,C03
25.160697,45.520582,79.955457,55.737705,75,52.727274,15.587268,0,0,C02
25.06887,50.363195,78.841871,51.36612,73.922414,52.727274,14.379803,0,0,?
31.955922,76.755448,83.073497,48.63388,49.784483,5.454548,19.868277,0,0,?
23.875115,55.447942,78.841871,76.502732,62.931034,49.090907,14.928651,0,20,C02
24.563819,50.605326,79.064588,65.573771,63.362069,49.090907,15.806806,0,54.285714,C01
34.481175,97.820824,83.518931,0,47.629311,2.727274,21.075742,0,0,?
24.609733,50.363195,79.510022,57.923497,69.181035,56.363635,16.575193,0,0,C02
23.18641,64.164649,77.951002,46.994535,65.517241,45.454545,14.818881,0,0,C02
25.206611,54.479418,78.841871,50.273224,68.75,59.090909,15.916576,0,0,C02
26.538108,60.048426,77.505568,61.202186,60.991379,53.636361,14.818881,0,0,C02
23.232323,51.815981,77.505568,56.830601,69.612068,50.909088,14.818881,0,0,C02
25.390266,44.309927,78.396437,62.295082,71.982758,51.818181,16.026345,0,0,C02
26.124885,56.900727,77.728285,54.09836,65.732759,54.545455,15.477498,0,0,C02
25.390266,46.489104,79.287305,55.191256,70.474138,55.454542,17.672888,0,39.999999,C03
24.701561,44.552058,77.282851,59.562841,77.155172,54.545455,16.136115,0,17.142857,C02
26.078971,47.457627,78.841871,57.377048,67.672414,51.818181,18.331505,0,0,C02
