1,94.33831192367022,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:EUCLIDEAN,DBCLASD_PTS - 3.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 3.0,DESCRY_K - 9.111111],}
2,94.89195644622883,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:BRAYCURTIS,DENCLUE_EPSILON - 5.0,DENCLUE_SIGMA - 10.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
3,94.89195644622883,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:BRAYCURTIS,DENCLUE_EPSILON - 5.0,DENCLUE_SIGMA - 10.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
4,95.23245861737244,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:BRAYCURTIS,CLIQUE_SLICES - 23.333334,CLIQUE_THRESHOLD - 0.11111116],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
5,95.54797700618205,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:BRAYCURTIS,CLIQUE_SLICES - 16.666668,CLIQUE_THRESHOLD - 0.022222312],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 3.3333335,DENCLUE_SIGMA - 8.0],}
6,95.54797700618205,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:BRAYCURTIS,CLIQUE_SLICES - 16.666668,CLIQUE_THRESHOLD - 0.022222312],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 3.3333335,DENCLUE_SIGMA - 8.0],}
7,95.54797700618205,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:BRAYCURTIS,CLIQUE_SLICES - 16.666668,CLIQUE_THRESHOLD - 0.022222312],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 3.3333335,DENCLUE_SIGMA - 8.0],}
8,95.54797700618205,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:BRAYCURTIS,CLIQUE_SLICES - 16.666668,CLIQUE_THRESHOLD - 0.022222312],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 3.3333335,DENCLUE_SIGMA - 8.0],}
9,95.54797700618205,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:BRAYCURTIS,CLIQUE_SLICES - 16.666668,CLIQUE_THRESHOLD - 0.022222312],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 3.3333335,DENCLUE_SIGMA - 8.0],}
10,95.54797700618205,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:BRAYCURTIS,CLIQUE_SLICES - 16.666668,CLIQUE_THRESHOLD - 0.022222312],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 3.3333335,DENCLUE_SIGMA - 8.0],}
11,95.54797700618205,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:BRAYCURTIS,CLIQUE_SLICES - 16.666668,CLIQUE_THRESHOLD - 0.022222312],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 3.3333335,DENCLUE_SIGMA - 8.0],}
12,95.54797700618205,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:BRAYCURTIS,CLIQUE_SLICES - 16.666668,CLIQUE_THRESHOLD - 0.022222312],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 3.3333335,DENCLUE_SIGMA - 8.0],}
13,95.54797700618205,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:BRAYCURTIS,CLIQUE_SLICES - 16.666668,CLIQUE_THRESHOLD - 0.022222312],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 3.3333335,DENCLUE_SIGMA - 8.0],}
14,95.54797700618205,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:BRAYCURTIS,CLIQUE_SLICES - 16.666668,CLIQUE_THRESHOLD - 0.022222312],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 3.3333335,DENCLUE_SIGMA - 8.0],}
15,95.54797700618205,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:BRAYCURTIS,CLIQUE_SLICES - 16.666668,CLIQUE_THRESHOLD - 0.022222312],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 3.3333335,DENCLUE_SIGMA - 8.0],}
