Attribute1,Attribute2,Cluster
0.099154,0.164705,C1
0.071497,0.202901,C1
0.136364,0.1,C1
0.145249,0.236115,C1
0.090909,0.1,C1
0.045455,0.2,C1
0.180282,0.139795,C1
0.158156,0.073367,C1
0.136364,0.3,C1
0.207939,0.24774,C1
0.172907,0.249401,C1
0.102842,0.133152,C1
0.054902,0.138134,C1
0.056746,0.156402,C1
0.113905,0.159723,C1
0.117592,0.242758,C1
0.113905,0.106581,C1
0.148937,0.320811,C1
0.128655,0.267669,C1
0.069653,0.036832,C1
0.161844,0.352364,C1
0.054902,0.207883,C1
0.152625,0.038492,C1
0.171063,0.29424,C1
0.084403,0.261026,C1
0.113905,0.344061,C1
0.095466,0.209544,C1
0.172907,0.173009,C1
0.102842,0.070046,C1
0.132343,0.207883,C1
0.180282,0.101599,C1
0.137874,0.111563,C1
0.189501,0.177991,C1
0.19872,0.066724,C1
0.161844,0.196259,C1
0.08256,0.317489,C1
0.213471,0.144777,C1
0.132343,0.025207,C1
0.069653,0.073367,C1
0.115748,0.285936,C1
0.167375,0.133152,C1
0.156312,0.098277,C1
0.211627,0.182973,C1
0.077028,0.239437,C1
0.13603,0.3424,C1
0.171063,0.241097,C1
0.145249,0.252722,C1
0.191345,0.29424,C1
0.19872,0.287597,C1
0.056746,0.17633,C1
0.089935,0.05676,C1
0.178438,0.307525,C1
0.095466,0.045135,C1
0.143406,0.141456,C1
0.123124,0.163045,C1
0.158156,0.15142,C1
0.195033,0.129831,C1
0.123124,0.3424,C1
0.18397,0.035171,C1
0.016182,0.202901,C1
0.154469,0.023546,C1
0.093623,0.334096,C1
0.115748,0.050117,C1
0.204252,0.025207,C1
0.181818,0.3,C1
0.169219,0.060081,C1
0.814555,0.646307,C2
0.915965,0.800752,C2
0.891996,0.757574,C2
0.915965,0.666236,C2
0.941779,0.755913,C2
0.838525,0.764217,C2
0.862495,0.815698,C2
0.917809,0.72436,C2
0.838525,0.679521,C2
0.93256,0.65295,C2
0.90859,0.682843,C2
0.939935,0.787467,C2
0.832993,0.664575,C2
0.838525,0.692807,C2
0.949154,0.754253,C2
0.801649,0.669557,C2
0.879089,0.711075,C2
0.88462,0.837288,C2
0.79243,0.692807,C2
0.899371,0.837288,C2
0.890152,0.792449,C2
0.821931,0.639665,C2
0.866182,0.847252,C2
0.871714,0.726021,C2
0.877245,0.744289,C2
0.875401,0.787467,C2
0.934403,0.757574,C2
0.856963,0.828984,C2
0.825618,0.712735,C2
0.90859,0.706092,C2
0.818243,0.727682,C2
0.899371,0.777502,C2
0.86987,0.740967,C2
0.189501,0.91534,C3
0.215315,0.900394,C3
0.215315,0.848912,C3
0.215315,0.858877,C3
0.19872,0.832305,C3
0.224534,0.905376,C3
0.215315,0.832305,C3
0.187657,0.833966,C3
0.224534,0.950215,C3
0.119436,0.651289,C4
0.110217,0.684503,C4
0.202408,0.599808,C4
0.161844,0.687825,C4
0.075184,0.696128,C4
0.150781,0.636343,C4
0.139718,0.714396,C4
0.025401,0.721039,C4
0.147093,0.659593,C4
0.095466,0.704432,C4
0.056746,0.682843,C4
0.051215,0.731003,C4
0.178438,0.654611,C4
0.209783,0.664575,C4
0.075184,0.644647,C4
0.100998,0.639665,C4
0.089935,0.614754,C4
0.088091,0.672879,C4
0.078872,0.727682,C4
0.230065,0.692807,C4
0.215315,0.707753,C4
0.182126,0.631361,C4
0.065965,0.742628,C4
0.049371,0.709414,C4
0.128655,0.727682,C4
0.139718,0.711075,C4
0.158156,0.644647,C4
0.187657,0.692807,C4
0.148937,0.320811,C5
0.191345,0.29424,C5
0.227273,0.4,C5
0.128655,0.267669,C5
0.19872,0.287597,C5
0.178438,0.307525,C5
0.161844,0.352364,C5
0.115748,0.285936,C5
0.171063,0.29424,C5
0.136364,0.3,C5
0.113905,0.344061,C5
0.182126,0.378935,C5
0.207939,0.24774,C5
0.13603,0.3424,C5
0.172907,0.249401,C5
0.123124,0.3424,C5
0.227273,0.3,C5
0.181818,0.4,C5
0.193189,0.352364,C5
0.171063,0.241097,C5
0.145249,0.252722,C5
0.117592,0.242758,C5
0.181818,0.3,C5
0.136364,0.4,C5
0.119436,0.651289,C6
0.110217,0.684503,C6
0.027245,0.777502,C6
0.010651,0.684503,C6
0.075184,0.696128,C6
0.065965,0.785806,C6
0.025401,0.721039,C6
0.091779,0.764217,C6
0.113905,0.789127,C6
0.139718,0.714396,C6
0.078872,0.787467,C6
0.056746,0.682843,C6
0.095466,0.704432,C6
0.051215,0.731003,C6
0.13603,0.77086,C6
0.158156,0.804074,C6
0.012495,0.646307,C6
0.05859,0.774181,C6
0.172907,0.805734,C6
0.075184,0.644647,C6
0.100998,0.639665,C6
0.088091,0.672879,C6
0.078872,0.727682,C6
0.047527,0.654611,C6
0.141562,0.77086,C6
0.145249,0.77086,C6
0.156312,0.792449,C6
0.014338,0.659593,C6
0.032777,0.634683,C6
0.065965,0.742628,C6
0.056746,0.606451,C6
0.049371,0.709414,C6
0.128655,0.727682,C6
0.036464,0.759235,C6
0.102842,0.800752,C6
0.106529,0.785806,C6
0.124967,0.745949,C6
0.139718,0.711075,C6
0.891996,0.352364,C7
0.912278,0.211205,C7
0.987874,0.254383,C7
0.875401,0.330775,C7
0.853275,0.398864,C7
0.93256,0.211205,C7
0.794273,0.315829,C7
0.934403,0.168027,C7
0.912278,0.362328,C7
0.810868,0.337418,C7
0.934403,0.194598,C7
0.836681,0.359007,C7
0.919653,0.216187,C7
0.956529,0.362328,C7
0.803492,0.36731,C7
0.868026,0.217848,C7
0.891996,0.397203,C7
0.936247,0.289258,C7
0.923341,0.398864,C7
0.939935,0.334096,C7
0.773991,0.332436,C7
0.829306,0.322472,C7
0.873557,0.370632,C7
0.950998,0.267669,C7
0.930716,0.274311,C7
