%	Number of instances: 589
%	Number of classes: 4 (c1,c2,c3,c4)
%	Number of attributes: 4

% Data distribution per class
% C1 = 160 instances (27.16%)
% C2 = 143 instances (24.28%)
% C3 = 138 instances (23,43%)
% C4 = 148 instances (25,13%)

% Split dataset
% train: 60%
% test: 40%

@RELATION Synthetic-1

@ATTRIBUTE X REAL
@ATTRIBUTE Y REAL
@ATTRIBUTE class {C1,C2,C3,C4}

@DATA
0.0, 0.4, C1
0.0, 0.3, C1
0.0, 0.2, C1
0.0, 0.1, C1
0.0, 0.0, C1
0.0454545454545, 0.4, C1
0.0454545454545, 0.3, C1
0.0454545454545, 0.2, C1
0.0454545454545, 0.1, C1
0.0454545454545, 0.0, C1
0.0909090909091, 0.4, C1
0.0909090909091, 0.3, C1
0.0909090909091, 0.2, C1
0.0909090909091, 0.1, C1
0.0909090909091, 0.0, C1
0.136363636364,	0.4, C1
0.136363636364,	0.3, C1
0.136363636364,	0.2, C1
0.136363636364,	0.1, C1
0.136363636364,	0.0, C1
0.181818181818,	0.4, C1
0.181818181818,	0.3, C1
0.181818181818,	0.2, C1
0.181818181818,	0.1, C1
0.181818181818,	0.0, C1
0.227272727273,	0.4, C1
0.227272727273,	0.3, C1
0.227272727273,	0.2, C1
0.227272727273,	0.1, C1
0.227272727273,	0.0, C1
0.023557483731, 0.350703353956,   C1
0.0512147505423, 0.254382937154	, C1
0.0180260303688, 0.0335102572452, C1
0.0124945770065, 0.068384890915	, C1
0.0899349240781, 0.0567600130251, C1
0.0696529284165, 0.036831650928,  C1
0.0696529284165, 0.0733669814393, C1
0.132342733189	,0.0252067730381 ,C1
0.132342733189	,0.068384890915	 ,C1
0.158156182213	,0.0733669814393 ,C1
0.15262472885	,0.0384923477695 ,C1
0.204251626898	,0.0252067730381 ,C1
0.198720173536	,0.0667241940736 ,C1
0.20978308026	,0.0916346466949 ,C1
0.213470715835	,0.14477694562	,C1
0.100997830803	,0.136473461413	,C1
0.023557483731	,0.119866492999	,C1
0.0198698481562	,0.169687398242	,C1
0.023557483731	,0.154741126669	,C1
0.0641214750542	,0.143116248779	,C1
