1,90.52441260641731,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:EUCLIDEAN,DBCLASD_PTS - 10.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 3.7777777,DESCRY_DENSITY - 3.0],}
2,91.79390060137781,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:CHEBYCHEV,DBCLASD_PTS - 8.0],MergeByDistance[DISTANCE:MANHATTAN,DESCRY_K - 4.666667,DESCRY_DENSITY - 10.0],}
3,94.35735425142158,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.06666673],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 1.1111112,DENCLUE_SIGMA - 10.0],}
4,94.35735425142158,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.06666673],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 1.1111112,DENCLUE_SIGMA - 10.0],}
5,94.35735425142158,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.06666673],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 1.1111112,DENCLUE_SIGMA - 10.0],}
6,94.35735425142158,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.06666673],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 1.1111112,DENCLUE_SIGMA - 10.0],}
7,94.35735425142158,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.06666673],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 1.1111112,DENCLUE_SIGMA - 10.0],}
8,94.35735425142158,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.06666673],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 1.1111112,DENCLUE_SIGMA - 10.0],}
9,94.35735425142158,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.06666673],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 1.1111112,DENCLUE_SIGMA - 10.0],}
10,94.35735425142158,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.06666673],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 1.1111112,DENCLUE_SIGMA - 10.0],}
11,94.35735425142158,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:MANHATTAN,CLIQUE_SLICES - 21.11111,CLIQUE_THRESHOLD - 0.06666673],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 1.1111112,DENCLUE_SIGMA - 10.0],}
12,94.61181203982187,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:EUCLIDEAN,CLIQUE_SLICES - 25.555557,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.1111112,DENCLUE_SIGMA - 10.0],}
13,94.61181203982187,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:EUCLIDEAN,CLIQUE_SLICES - 25.555557,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.1111112,DENCLUE_SIGMA - 10.0],}
14,94.61181203982187,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:EUCLIDEAN,CLIQUE_SLICES - 25.555557,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 1.1111112,DENCLUE_SIGMA - 10.0],}
