@relation glass-train

@attribute RI numeric
@attribute Na numeric
@attribute Mg numeric
@attribute Al numeric
@attribute Si numeric
@attribute K numeric
@attribute Ca numeric
@attribute Ba numeric
@attribute Fe numeric
@attribute cluster {C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50}

@data
25.06887,76.513317,80.178174,58.469945,62.931034,43.636365,8.232712,0,0,?
18.503214,67.79661,79.064588,68.306011,68.534482,35.454543,7.683865,0,0,C08
25.298439,60.048426,82.182628,54.644809,60.344827,51.818181,12.513722,0,0,C28
24.19651,61.501211,80.623608,51.912569,70.474138,50,10.867179,0,0,?
24.242424,62.227604,80.178174,46.448088,70.689656,52.727274,11.964874,0,0,C27
24.839302,58.595641,80.400891,41.530054,73.922414,51.818181,12.733261,0,0,?
32.277318,80.145279,79.732739,59.016394,48.922413,50.909088,13.391877,0,0,?
16.34527,48.184019,77.060134,69.398907,73.060344,60.90909,11.086719,0,68.571429,?
25.160697,50.121066,81.514477,53.551912,68.965517,54.545455,16.245884,0,0,?
17.171717,52.058111,76.391982,60.655737,74.784483,62.72727,10.64764,0,68.571429,C02
24.471992,51.57385,79.287305,53.551912,73.275862,49.090907,14.270034,0,48.571428,?
25.160697,45.520582,79.955457,55.737705,75,52.727274,15.587268,0,0,?
25.06887,50.363195,78.841871,51.36612,73.922414,52.727274,14.379803,0,0,C19
26.124885,47.215496,81.737194,47.540984,71.120689,55.454542,17.782657,0,0,C22
31.955922,76.755448,83.073497,48.63388,49.784483,5.454548,19.868277,0,0,C39
23.875115,55.447942,78.841871,76.502732,62.931034,49.090907,14.928651,0,20,?
24.563819,50.605326,79.064588,65.573771,63.362069,49.090907,15.806806,0,54.285714,?
34.481175,97.820824,83.518931,0,47.629311,2.727274,21.075742,0,0,C41
23.921028,49.636805,80.623608,54.644809,64.224138,53.636361,17.782657,0,0,C10
24.609733,50.363195,79.510022,57.923497,69.181035,56.363635,16.575193,0,0,C21
23.18641,64.164649,77.951002,46.994535,65.517241,45.454545,14.818881,0,0,?
25.390266,44.309927,78.396437,62.295082,71.982758,51.818181,16.026345,0,0,?
26.124885,56.900727,77.728285,54.09836,65.732759,54.545455,15.477498,0,0,C25
25.711662,51.331719,77.505568,51.36612,68.103448,55.454542,16.245884,2.857143,62.857143,?
24.701561,44.552058,77.282851,59.562841,77.155172,54.545455,16.136115,0,17.142857,C18
26.078971,47.457627,78.841871,57.377048,67.672414,51.818181,18.331505,0,0,C20
26.721763,48.668281,77.505568,57.923497,67.887931,58.181816,17.563118,0,0,C21
45.821855,84.261501,85.077951,9.836066,42.241379,10.000002,27.332601,0,0,?
24.793388,47.941889,76.169265,49.726776,73.060344,53.636361,17.12404,0,0,?
25.895317,60.048426,75.501114,56.830601,63.577586,53.636361,16.575193,0,0,?
45.684114,72.639225,85.523385,23.497268,42.025863,15.454544,29.198683,0,0,C47
30.027548,59.564164,75.055679,48.63388,62.715517,51.818181,19.20966,0,45.714286,C35
46.280991,60.048426,83.964365,27.322404,46.982758,11.818183,32.272229,0,0,?
31.359044,69.007264,74.610245,51.36612,48.922413,53.636361,20.087816,0,0,C38
32.644628,59.806295,74.164811,54.09836,54.956896,54.545455,22.612514,0,31.428571,?
27.226813,65.375303,63.919822,49.180327,65.301724,50,21.40505,0,0,?
25.849403,60.048426,62.583519,54.644809,68.318966,46.363633,21.29528,0,25.714286,C26
0,54.721549,77.282851,45.355191,68.318966,56.363635,13.940724,0,88.571429,?
27.961432,51.815981,77.505568,54.644809,67.672414,54.545455,14.818881,0,0,C24
24.747475,66.585956,83.296214,48.087431,68.534482,53.636361,10.428102,0,0,?
24.747475,64.40678,81.514477,49.180327,64.224138,51.818181,13.062569,0,31.428571,C30
31.68044,69.491526,80.623608,44.808742,60.991379,12.72727,18.441273,0,0,?
34.986226,74.576271,79.732739,56.284152,41.163793,10.90909,17.453348,21.904762,0,C40
43.939394,67.312348,85.96882,32.240437,42.672414,20.909092,27.003293,0,31.428571,C45
46.464646,83.292978,84.855234,26.775957,33.189655,0,28.649836,0,0,C48
43.939394,66.585956,83.296214,33.333333,47.413793,16.363637,27.77168,0,20,?
43.02112,56.174334,81.291759,31.693989,51.939655,17.272725,30.406148,0,48.571428,C44
43.02112,56.174334,81.291759,31.693989,54.094828,17.272725,30.406148,0,48.571428,C44
43.02112,57.86925,79.732739,33.333333,51.50862,20.909092,30.07684,0,45.714286,?
16.483012,100,81.737194,79.234973,44.396551,14.545457,3.073546,0,34.285715,C00
17.355372,57.142858,79.955457,67.213114,70.905172,60.90909,8.232712,0,0,?
19.100092,63.196126,79.510022,69.945354,65.948276,55.454542,8.891329,0,0,?
17.493112,55.447942,79.287305,68.306011,71.120689,65.454544,9.001098,0,0,C04
18.916437,54.96368,79.732739,68.306011,65.086206,55.454542,10.537871,0,0,?
19.788797,64.891042,79.064588,52.459016,64.655173,61.818183,11.196487,0,0,C06
8.907254,85.230025,68.819599,97.814208,53.232759,100,0,0,0,?
18.82461,63.680387,79.732739,65.573771,62.715517,40.909091,12.403952,0,0,?
